factor_name,factors,top_n,rebalance_days,industry_cap,weight_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",6,40,2,equal,1.2212341633880612,0.1256613493857508,0.35820556456817954,0.6086908401935525,133117.69331000003,0.7048186034753161,5.930232558139535,89.14666720930232,0.12751132317481412
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,60,2,equal,0.9661197542252449,0.10547513041719703,0.24469002958632857,0.6085369523524231,117792.48119999997,0.6439444589051166,10.0,93.50064827586208,0.15897162249344654
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",10,30,2,inverse_vol,0.6404297253855058,0.07617540468385675,0.21097346659839122,0.6080524644073139,98282.79960000003,0.628621788631727,9.333333333333334,88.68772631578946,0.16748316449850095
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",10,20,1,equal,0.9420708562858062,0.10345901804700608,0.2529065033245833,0.6061952104084073,116350.96692000006,0.3872197577726245,9.988235294117647,60.2709774117647,0.15279777719678367
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",15,30,1,inverse_vol,0.7329270952094005,0.08496692767842262,0.26773614108642074,0.6059022239181795,103791.72131999995,0.6477696047899268,13.017543859649123,114.12769614035086,0.24229080648269807
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",8,30,2,equal,0.7813078816922341,0.08940720810294156,0.23598228150268874,0.6054605589987796,106737.63015999997,0.6387417743239816,8.0,79.67315508771931,0.13016430140706595
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",15,40,2,inverse_vol,0.6160876903761352,0.07379171142825869,0.14020422556620327,0.6049084050295854,96782.39664000004,0.5648366400412627,13.418604651162791,106.5721711627907,0.19930198106195485
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",8,60,2,equal,1.057398439906517,0.11294110467329421,0.27421257423598266,0.6044497741483078,123277.94100000002,0.6582924868442773,7.862068965517241,85.72617241379311,0.1588723102285629
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",12,20,2,inverse_vol,0.8002857625007,0.09112094536354531,0.31197319481829133,0.6040807271554032,107843.60742000003,0.6055318315598657,10.75294117647059,108.1222656470588,0.22094565575247302
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",12,60,1,equal,0.8334022375837049,0.09407491318678463,0.21922589285480532,0.6040197214384776,109822.62296000005,0.6406847963688846,11.862068965517242,100.08196689655173,0.15415521079079775
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",8,30,2,inverse_vol,0.7872831489526846,0.08994845600488621,0.30707536903682187,0.6037681991621056,107091.58515999996,0.5795670354888725,7.771929824561403,75.69148842105264,0.12979720275446543
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",10,20,2,equal,0.9504291774966183,0.10416212726550422,0.23720204613274454,0.6028922227352332,116853.32132,0.4838251665129662,9.929411764705883,72.91386682352942,0.15329631466157714
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",10,30,2,equal,0.8777061271821691,0.09795652713967029,0.2995421647407833,0.6022862069398414,112494.01279999997,0.46623908033879913,9.982456140350877,70.73661754385964,0.13281310149441758
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",15,30,1,equal,0.7242130987256501,0.08415598041738104,0.19147868305357152,0.5999574822979061,103269.73683999998,0.34717154695053926,14.771929824561404,68.67128350877194,0.18304532309441218
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",10,60,2,equal,0.8409313434227728,0.09474015822967963,0.22028931074119795,0.5995776719004967,110293.13712000003,0.8158861676002446,9.689655172413794,111.99527172413792,0.1711872262409902
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",12,30,1,inverse_vol,0.7027400778350932,0.08214264552143047,0.2235826296636284,0.5990938170111685,101994.29576000002,0.4490014691944331,11.596491228070175,79.90709192982456,0.154558744516968
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",15,30,1,equal,0.771347057202713,0.08850149592787249,0.17975415749059087,0.5986117389897858,106108.52251999995,0.42573063477281536,14.578947368421053,77.72767508771929,0.2123296379277681
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",12,20,1,inverse_vol,0.6999949317142824,0.0818837007567812,0.2013789823726616,0.5962691881496645,101830.26176000001,0.37589148028757563,11.047058823529412,65.50280282352941,0.1954158866488614
value_quality_cash_growth,"earnings_yield,cashflow_yield,quality_roe,growth_peg",8,60,2,inverse_vol,0.8420349548502426,0.09483747461439807,0.22527056875349416,0.5958989465736797,110375.13149,0.7482876718435634,7.517241379310345,91.13339689655173,0.1610274885436158
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",6,40,1,equal,1.0249974715222514,0.11032382478538927,0.21059861209119424,0.5926567001784028,121357.56071,0.8020425394002848,6.0,91.56835558139535,0.10576429059179326
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",8,40,1,inverse_vol,0.8218062507188337,0.09304576741254689,0.20926614928015752,0.5910726993302605,109161.334,0.6159926272932376,7.906976744186046,79.96897674418605,0.13610079808785183
quality_growth_momentum,"quality_roe,growth_peg,momentum_60,ma_slope_60",12,20,1,inverse_vol,0.8288350212612521,0.09367023553902065,0.28871111348146516,0.5907425877930373,109549.46884999998,0.5889628903392266,10.588235294117647,96.71213117647059,0.2379995308794542
value_cash_quality_lowvol,"earnings_yield,cashflow_yield,quality_roe,low_vol_60",8,40,2,equal,0.9350392912491383,0.10286551783158515,0.23606204878328463,0.5903748042791691,115945.49336000004,0.5626753348020324,8.0,74.36061953488372,0.13464871828128294
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",15,30,1,inverse_vol,0.5687721600628981,0.06906949549640262,0.15309432913897825,0.5889132933826787,93950.28399999999,0.5123599471300222,12.964912280701755,95.83712280701755,0.22456334988067495
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",15,30,1,equal,0.7051157098974623,0.08236644785740888,0.1876332135452784,0.5874247941930811,102125.76416000002,0.3813862777044206,14.701754385964913,70.68834807017544,0.18735583761766408
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",6,60,1,equal,1.025360327638523,0.11035333236902378,0.28063132641412536,0.5866164271325206,121376.61593000003,0.8543045754106413,6.0,92.35807137931033,0.10811089935321644
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",15,60,1,inverse_vol,0.6315503261536091,0.07530940162936339,0.156546062059033,0.5851084968806315,97709.92908,0.7278019328161848,13.241379310344827,126.79554896551723,0.20869345512790488
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",6,30,1,inverse_vol,0.8697319218764381,0.0972636777397009,0.19601740193210648,0.5812277711294916,112048.75485999999,0.5127454734501664,6.0,66.56570421052632,0.08816768788254098
